# model w_normal_1 w_normal_2
8.075377175806382202e-02 7.822856282007184525e-02 2.516496587788834543e-03
7.974866696976457003e-02 7.682591184735146350e-02 2.879215335308471600e-03
7.861975887936352436e-02 7.532767849090871159e-02 3.286283697383436675e-03
7.764646096847110934e-02 7.376189631226898191e-02 3.741750853481945124e-03
7.664272769584355716e-02 7.226152015214840074e-02 4.258857592351623922e-03
7.560395140486839138e-02 7.065716473946884180e-02 4.829323276183088501e-03
7.464739388316693480e-02 6.899181374318952287e-02 5.460746754786514369e-03
7.363376520255265900e-02 6.738438914120989387e-02 6.174598576975959090e-03
7.270852521523978040e-02 6.569456580218094310e-02 6.969620259465227237e-03
7.194988825077777705e-02 6.402793113597460284e-02 7.851739594238108313e-03
7.111165685951691129e-02 6.224611825523978376e-02 8.828339845772923203e-03
7.037591022596938195e-02 6.045979831364232254e-02 9.892469116040514959e-03
6.992534180769299779e-02 5.866851870037871619e-02 1.107258754357336172e-02
6.936009092651330976e-02 5.672398786338207072e-02 1.237656402083116627e-02
6.895525845564157152e-02 5.495268810190313130e-02 1.379550813494011437e-02
6.864806481251234382e-02 5.314321907765556102e-02 1.534123391970384012e-02
6.853893576705406832e-02 5.135913238380179768e-02 1.702575203459861380e-02
6.859863290880816034e-02 4.958386151095425798e-02 1.884814932887207695e-02
6.908193748255585243e-02 4.788020377804989153e-02 2.083900051159041228e-02
6.964601706798506653e-02 4.607929455580289657e-02 2.299317660450540465e-02
7.046559028864310403e-02 4.433125599000291989e-02 2.533549429842723438e-02
7.134285724942587836e-02 4.262764145536000748e-02 2.789779950045289877e-02
7.242050593997780006e-02 4.094929038780152630e-02 3.062957459488665699e-02
7.360621703486583400e-02 3.926895680095634361e-02 3.356555204976623824e-02
7.504270826175310494e-02 3.758203138949387651e-02 3.668542640840113250e-02
7.680867216477182957e-02 3.592960391707621798e-02 4.002725749233165126e-02
7.893374178293385834e-02 3.432408056023339427e-02 4.357901531726808553e-02
8.120714903364192883e-02 3.275468480608283162e-02 4.735238059224323309e-02
8.382763067167084414e-02 3.117894898722351621e-02 5.139435587909251674e-02
8.669523647370645791e-02 2.965979626453351531e-02 5.572766028501616870e-02
8.961063685277925739e-02 2.824442265290843385e-02 6.032538867269093136e-02
9.326863499290390103e-02 2.683197445850630733e-02 6.504170434504212561e-02
9.704676278423882141e-02 2.548272646750601722e-02 7.007365140361117295e-02
1.009929262721172560e-01 2.419848891221342002e-02 7.524344351449983870e-02
1.052214934384378131e-01 2.295570894111654756e-02 8.060652271430741866e-02
1.096722761216208097e-01 2.176540099768139308e-02 8.634724944588391404e-02
1.145488820873242219e-01 2.057738913663972533e-02 9.219099041792004623e-02
1.195005899353678569e-01 1.947972017111664067e-02 9.844531896717169384e-02
1.245413818631771058e-01 1.839595285361770097e-02 1.048145959440502234e-01
1.301730806421189102e-01 1.732494252375527122e-02 1.113417930402569173e-01
1.358551967513058900e-01 1.632933652773060906e-02 1.181806359555213209e-01
1.416832146970457285e-01 1.540447646875103653e-02 1.249653918402471864e-01
1.477323954050032417e-01 1.447249600863561789e-02 1.320239200920423350e-01
1.539655554561537021e-01 1.360241666432627540e-02 1.392463976137859327e-01
1.604786505725024348e-01 1.275579624266623760e-02 1.466475905759031251e-01
1.669305152766859535e-01 1.195189256586866137e-02 1.539346815206815711e-01
1.735452864106440118e-01 1.118207824857026141e-02 1.613411567953998149e-01
1.803101962047223561e-01 1.045312108599273475e-02 1.688391036055083838e-01
1.872930184863898784e-01 9.761429460360702970e-03 1.763690280578526781e-01
1.940696411962816725e-01 9.112045463023068712e-03 1.839395597585390951e-01
2.009645774393881423e-01 8.508282160244951681e-03 1.915916720412979557e-01
2.077061343655308145e-01 7.922388546590181796e-03 1.989500583595535943e-01
2.142595854137729072e-01 7.380907665887234161e-03 2.060301073636380265e-01
2.207918976535729050e-01 6.873660834693736191e-03 2.130855556567610165e-01
2.269979472586058644e-01 6.402728474830570587e-03 2.197645185236434817e-01
2.330870325097625928e-01 5.924519250892486960e-03 2.266853777887654353e-01
2.390964870426693922e-01 5.484004858573219253e-03 2.331972030985320909e-01
