w	mu_1	sigma_1	mu_2	sigma_2	logPrior	logL
5.92262723210789099326e-01	-3.38152664893064880403e+00	1.37589069734369284781e+00	-2.44952483976889334727e+00	1.55734917590349253302e+00	0.00000000000000000000e+00	-4.76295001789157595340e+03
8.20439927172934790889e-01	4.46440954093267539093e+00	8.13936864955912775521e-01	4.96426959910158505096e+00	5.41916436195441497681e-02	0.00000000000000000000e+00	-4.56859704508426693792e+03
2.03181622121266114434e-01	-2.38324323678546790006e+00	1.68957092320428392540e+00	-2.20099941361685846886e+00	8.10393472511959034321e-01	0.00000000000000000000e+00	-4.49973962782628768764e+03
8.20439927172934790889e-01	4.46440954093267539093e+00	8.13936864955912775521e-01	4.96426959910158505096e+00	5.41916436195441497681e-02	0.00000000000000000000e+00	-4.56859704508426693792e+03
1.25311782858276016261e-01	-2.08401908912498656790e+00	1.52877107870362771713e+00	-2.80159819381512560296e-03	7.29923391671430166205e-01	0.00000000000000000000e+00	-4.44676248446435329242e+03
9.88233754062008307173e-01	4.19200733848913120738e+00	1.83113363155501723822e-01	4.28893679549037276644e+00	1.13557968535920372766e+00	0.00000000000000000000e+00	-4.35751156320845620940e+03
1.25311782858276016261e-01	-2.08401908912498656790e+00	1.52877107870362771713e+00	-2.80159819381512560296e-03	7.29923391671430166205e-01	0.00000000000000000000e+00	-4.44676248446435329242e+03
3.98633313775354158892e-01	-1.62348125098492834795e+00	8.74168226707345397131e-01	2.67434536765113195500e-01	8.27157669057327016304e-01	0.00000000000000000000e+00	-4.27753650306996496511e+03
3.97000883490578493351e-01	4.69791468083490393326e+00	9.28419007705283183540e-01	5.33830597591774758115e+00	9.07969246905397153746e-01	0.00000000000000000000e+00	-3.98760052392379293451e+03
3.98633313775354158892e-01	-1.62348125098492834795e+00	8.74168226707345397131e-01	2.67434536765113195500e-01	8.27157669057327016304e-01	0.00000000000000000000e+00	-4.27753650306996496511e+03
1.20792367795496485838e-01	-1.76007066238786569201e+00	5.27701070139948269500e-01	-1.65682404125871141076e+00	1.32821572413460242679e+00	0.00000000000000000000e+00	-3.85846186392711524604e+03
9.03176324116054418667e-01	-3.06794612203779637483e+00	1.71060947013054698296e+00	-2.80318141118620900443e+00	2.59416672746746401756e-01	0.00000000000000000000e+00	-3.82969641473009414767e+03
5.82774308703310817137e-01	4.86691142656298225688e+00	6.82390890243547598715e-01	6.57512267402116812320e+00	1.34429573279573122413e+00	0.00000000000000000000e+00	-3.80070682491033585393e+03
2.75693856875433573883e-01	-2.49846430916802875188e+00	1.75560482305551213145e+00	-2.26414730919028839295e+00	7.15298852973553778156e-01	0.00000000000000000000e+00	-3.78976671011956022994e+03
1.40781465786118442640e-01	-2.24923338716819554151e+00	1.73749010500217981878e+00	-2.02097247149549730239e+00	1.15693119295685820092e+00	0.00000000000000000000e+00	-3.77403754840477449761e+03
3.03994246169786930256e-01	-2.18233721065872732225e+00	1.39627054543270978648e+00	6.20939521518965342750e+00	4.75093999364112118400e-01	0.00000000000000000000e+00	-3.74674481580158453653e+03
3.22558001224080848068e-01	-2.31492467101692955822e+00	1.22480376462966278339e+00	-1.25708811875177906003e+00	1.25021264806873744213e+00	0.00000000000000000000e+00	-3.70261240483065739681e+03
5.09313889181452372767e-01	-2.52928087620667829682e+00	1.59616946565007200576e+00	5.89962185434993102717e+00	2.24802766941447046412e-01	0.00000000000000000000e+00	-3.58680539073979207387e+03
3.22558001224080848068e-01	-2.31492467101692955822e+00	1.22480376462966278339e+00	-1.25708811875177906003e+00	1.25021264806873744213e+00	0.00000000000000000000e+00	-3.70261240483065739681e+03
4.13878657991956444562e-01	4.35463267976384038604e+00	8.88593746337901113641e-01	5.72166424160061115600e+00	1.40080413012486748592e-01	0.00000000000000000000e+00	-3.58632835703915452541e+03
2.78479148239672236187e-01	3.69075959586687041281e-01	6.03795890257630363251e-01	1.05298659331997623845e+00	6.94757636787572963044e-01	0.00000000000000000000e+00	-3.49973979926437914401e+03
4.13878657991956444562e-01	4.35463267976384038604e+00	8.88593746337901113641e-01	5.72166424160061115600e+00	1.40080413012486748592e-01	0.00000000000000000000e+00	-3.58632835703915452541e+03
1.18197876833101178651e-01	-1.75728804627800205829e+00	1.47110856126320355131e+00	-6.95235655607219671381e-01	1.03664847581201713389e+00	0.00000000000000000000e+00	-3.41931887233560519235e+03
1.03177490189291162781e-01	6.85426876816618069199e+00	1.62390435845923097880e+00	6.96973220080269850740e+00	1.35699837123769317948e+00	0.00000000000000000000e+00	-3.30326927364357288752e+03
8.81751916546260949836e-01	-1.84521293631696892135e+00	9.87549380672972820783e-01	5.92222658447466798748e+00	6.37682134865001803981e-01	0.00000000000000000000e+00	-3.19742968503248448542e+03
1.51886942044460071521e-01	4.87061349498414841719e+00	1.65918070798013195244e+00	5.76584967806438530857e+00	3.20889058083324574255e-02	0.00000000000000000000e+00	-3.19003794624111196754e+03
8.52181917250656950635e-01	-1.20930831612920952622e-01	9.14330436782450295397e-01	1.11523882283999342668e+00	6.85814722304139312570e-01	0.00000000000000000000e+00	-3.16540768566633232695e+03
1.51886942044460071521e-01	4.87061349498414841719e+00	1.65918070798013195244e+00	5.76584967806438530857e+00	3.20889058083324574255e-02	0.00000000000000000000e+00	-3.19003794624111196754e+03
9.23345703152116392687e-01	-3.90703659890626786577e+00	1.97969056775530849457e+00	-2.01572832209417596161e+00	1.37236597833687468118e+00	0.00000000000000000000e+00	-3.12509438300660485766e+03
4.99742575629181118302e-01	2.67086403743674072331e+00	3.21240299029337650349e-01	5.49747958218597077007e+00	1.07002933136207678544e+00	0.00000000000000000000e+00	-3.05782007814598000550e+03
4.99742575629181118302e-01	2.67086403743674072331e+00	3.21240299029337650349e-01	5.49747958218597077007e+00	1.07002933136207678544e+00	0.00000000000000000000e+00	-3.05782007814598000550e+03
9.94997291322854970907e-01	-3.43101651002927843237e+00	1.08855283692240556448e+00	5.89082263640562509011e+00	2.25762381657024580051e+00	0.00000000000000000000e+00	-2.99778015794445855136e+03
3.12735682456220728809e-02	-9.36487879672073475490e-01	2.35877065049582412826e+00	6.36069836410263711457e+00	2.77856582461754431090e-01	0.00000000000000000000e+00	-2.62633359215015434529e+03
9.94997291322854970907e-01	-3.43101651002927843237e+00	1.08855283692240556448e+00	5.89082263640562509011e+00	2.25762381657024580051e+00	0.00000000000000000000e+00	-2.99778015794445855136e+03
6.99738905820645462619e-01	-3.14444425535560823093e+00	8.63238187211836427437e-01	5.98709797221763562192e+00	9.04216827060433270269e-01	0.00000000000000000000e+00	-2.46034190273663443804e+03
8.48691619075145564643e-01	-2.96079092607281069149e+00	1.56581057436743531497e+00	2.17418197529536794121e+00	3.77960656803303596263e-01	0.00000000000000000000e+00	-2.42086672678260765679e+03
6.99738905820645462619e-01	-3.14444425535560823093e+00	8.63238187211836427437e-01	5.98709797221763562192e+00	9.04216827060433270269e-01	0.00000000000000000000e+00	-2.46034190273663443804e+03
7.13589692399128061595e-01	-2.90543761399007616220e+00	1.84674419773487752394e+00	-2.12242881524217841260e+00	4.08545508771342213983e-01	0.00000000000000000000e+00	-2.39325523857239022618e+03
5.84970204818885050613e-02	-2.80878810415898305664e+00	2.77851991554567856468e+00	-1.43702820603985292891e+00	3.35307843118975268393e-01	0.00000000000000000000e+00	-2.34530400659792485385e+03
7.13589692399128061595e-01	-2.90543761399007616220e+00	1.84674419773487752394e+00	-2.12242881524217841260e+00	4.08545508771342213983e-01	0.00000000000000000000e+00	-2.39325523857239022618e+03
