# model w_normal_1 w_normal_2
3.894892010308766833e-02 3.894884068616282641e-02 2.411249387463472297e-08
4.044446023260866302e-02 4.044440875948712016e-02 3.091676107636590120e-08
4.189988391061479772e-02 4.189978024402811474e-02 3.959112449927519980e-08
4.341805159221381882e-02 4.341794172164798599e-02 5.061557634735357909e-08
4.492959174796673505e-02 4.492956066080301680e-02 6.454924744789751017e-08
4.645314733953966740e-02 4.645311215330863441e-02 8.218275241460706590e-08
4.793675935361064316e-02 4.793673712284529653e-02 1.044316320232442849e-07
4.946715909260012561e-02 4.946691718330205323e-02 1.324479777300180109e-07
5.101612450500642160e-02 5.101594708160499259e-02 1.674705523737851517e-07
5.253092865206974299e-02 5.253033874753409299e-02 2.116603381819966350e-07
5.408641953763139443e-02 5.408623685229897726e-02 2.665757721506763197e-07
5.559837277039562237e-02 5.559807406627998577e-02 3.353900415247183596e-07
5.712960429805616358e-02 5.712890808748409543e-02 4.218389607993562256e-07
5.865672380996391627e-02 5.865056244358779480e-02 5.292619426068312046e-07
6.019586987211683615e-02 6.019244476059788101e-02 6.623246918092999462e-07
6.171393587067310060e-02 6.171223220172356028e-02 8.274720793029561120e-07
6.315146003806006159e-02 6.314867740826937692e-02 1.032955375516807317e-06
6.458608071428292852e-02 6.458289594134386524e-02 1.283962389526343257e-06
6.604059259147924965e-02 6.603703541289240864e-02 1.592153686956447690e-06
6.747807102822042657e-02 6.747444433254325136e-02 1.968801091212179147e-06
6.891494672362014073e-02 6.891416044256810924e-02 2.428784852947135770e-06
7.034160486073437468e-02 7.034077101267841026e-02 2.996564132271056202e-06
7.166740495740780981e-02 7.166725368803579521e-02 3.691891235814528733e-06
7.293609019116752135e-02 7.293477161865510872e-02 4.536257870092683132e-06
7.418291054022675690e-02 7.418125765325969678e-02 5.561769948141438927e-06
7.537683749077828121e-02 7.536969664780153455e-02 6.805442172616683371e-06
7.657557428397711308e-02 7.656053284888110488e-02 8.311370142886051582e-06
7.771886078137005271e-02 7.771443198644645278e-02 1.013122238782479630e-05
7.884315611188019712e-02 7.879502731835139051e-02 1.232700044142618135e-05
7.985013553461223212e-02 7.984168546919413745e-02 1.498053543298361083e-05
8.086052542179303360e-02 8.084178460720764514e-02 1.815193008480020566e-05
8.175133249804082680e-02 8.173384819101239818e-02 2.195710594970360708e-05
8.264710114388182371e-02 8.261715263772351214e-02 2.649981784851261195e-05
8.345732775607860032e-02 8.342774512473929982e-02 3.192768965859911707e-05
8.422114924100833344e-02 8.415091592455252456e-02 3.839445214293275946e-05
8.487253312653729453e-02 8.479258053705385212e-02 4.608354005197705491e-05
8.544596785032708419e-02 8.533782545750030757e-02 5.520768910538656525e-05
8.593951636798917437e-02 8.582833227540072329e-02 6.607942961351368416e-05
8.638813111744529649e-02 8.630680529457374073e-02 7.887837378163435977e-05
8.681172834275539818e-02 8.671194664498320381e-02 9.397721267331137363e-05
8.711613889331709659e-02 8.704229222803092081e-02 1.117532392652917145e-04
8.741340234928098030e-02 8.727440707379303941e-02 1.326388139596949736e-04
8.763535716356572747e-02 8.739181412645960489e-02 1.571281828947885921e-04
8.772732770231754518e-02 8.748067097544773296e-02 1.857849352300156996e-04
8.781487720784268702e-02 8.762650424043880171e-02 2.192501259558291980e-04
8.781831182187792295e-02 8.752339861977770363e-02 2.581964176851488709e-04
8.770493322848471607e-02 8.734258483017098840e-02 3.036590674215973451e-04
8.752023865119479273e-02 8.711684111885789616e-02 3.562703526128169857e-04
8.725395812955009933e-02 8.676668788913428909e-02 4.176945651058018094e-04
8.695215488037973117e-02 8.637363113979978912e-02 4.885877323205741526e-04
8.656011747086753139e-02 8.589291350207411968e-02 5.702635168433725687e-04
8.615352900724351781e-02 8.537076723258324451e-02 6.637348184429601311e-04
8.566398892614393579e-02 8.479341557901753923e-02 7.722738470758878102e-04
8.509646317865718346e-02 8.414567553454063709e-02 8.971548159211592457e-04
8.445863613007079107e-02 8.333776077165785945e-02 1.040102785362562090e-03
8.378946503112393029e-02 8.247325598581838058e-02 1.200287025539732407e-03
8.317713641467387731e-02 8.166429707679484506e-02 1.386210647401450074e-03
8.248536302211166571e-02 8.073678257234175037e-02 1.598483644700932332e-03
8.181064668928740569e-02 7.980616060219107577e-02 1.836368092112342391e-03
8.105650666303435004e-02 7.885041650421391324e-02 2.105654669245019851e-03
8.033169377279705814e-02 7.785612645267639409e-02 2.409852302722934481e-03
7.967657311961603983e-02 7.674846657666734018e-02 2.756349283960694320e-03
7.889683182269661976e-02 7.557416529523672266e-02 3.145790859262212903e-03
7.812598548251241393e-02 7.440175498665982379e-02 3.587109645291608560e-03
7.745161073319081768e-02 7.322520133337710735e-02 4.068845449197560846e-03
7.668565533334453788e-02 7.192089774316198780e-02 4.610450293472886929e-03
7.594287422917851693e-02 7.049371719656950808e-02 5.238134751390703323e-03
7.522343485233479177e-02 6.903813342168269029e-02 5.930004359289232051e-03
